customer_id,tenure,monthly_charges,total_charges,num_products,contract_type,payment_method,internet_service,online_security,tech_support,paperless_billing,senior_citizen,gender,partner,dependents,phone_service,multiple_lines,streaming_tv,streaming_movies,device_protection,online_backup,churn
CUST00000,51,118.95,1353.73,2,One year,Mailed check,No,No,No,Yes,0,Female,No,Yes,Yes,No,Yes,Yes,No,No internet service,1
CUST00001,14,88.43,3269.25,3,Two year,Bank transfer,No,No,No,No,1,Male,Yes,No,No,No,No internet service,No,Yes,No internet service,0
CUST00002,71,114.9,1873.54,1,Month-to-month,Credit card,No,Yes,No,Yes,0,Male,No,Yes,No,Yes,No internet service,No,No,No,0
CUST00003,60,34.26,4287.71,3,Month-to-month,Credit card,No,No internet service,No,Yes,0,Female,No,No,Yes,Yes,No,Yes,No,Yes,0
CUST00004,20,58.21,1606.65,2,Two year,Mailed check,Fiber optic,Yes,Yes,No,0,Female,Yes,No,Yes,No phone service,No,Yes,Yes,Yes,0
CUST00005,23,75.47,4077.08,4,Month-to-month,Credit card,DSL,No,Yes,No,0,Female,Yes,No,Yes,Yes,No,No internet service,No internet service,No,1
CUST00006,2,27.68,1275.88,1,Two year,Electronic check,Fiber optic,Yes,No,Yes,1,Female,No,No,Yes,Yes,No,No internet service,Yes,Yes,1
CUST00007,21,20.42,5374.38,3,One year,Credit card,DSL,No,No,No,0,Male,Yes,Yes,No,Yes,No,No,No,No,0
CUST00008,52,87.04,6036.42,4,Two year,Bank transfer,No,Yes,Yes,Yes,0,Male,No,No,Yes,Yes,Yes,No internet service,No,No internet service,0
CUST00009,1,84.18,900.95,2,Month-to-month,Credit card,Fiber optic,No,No internet service,No,0,Male,Yes,No,Yes,Yes,Yes,No,No,Yes,1
CUST00010,29,61.08,3753.06,4,Month-to-month,Electronic check,Fiber optic,No,No,Yes,0,Male,No,Yes,Yes,No,No,Yes,Yes,No internet service,0
CUST00011,37,68.96,585.56,3,Month-to-month,Electronic check,DSL,No,No,Yes,0,Female,Yes,No,Yes,No,No internet service,No,Yes,Yes,1
CUST00012,1,61.54,4793.5,4,Month-to-month,Electronic check,Fiber optic,Yes,No,No,0,Female,Yes,No,Yes,Yes,Yes,No,Yes,No,0
CUST00013,63,22.4,2129.95,3,Month-to-month,Bank transfer,Fiber optic,No internet service,No,No,0,Male,No,No,Yes,No phone service,No,No,Yes,No,0
CUST00014,59,53.54,4230.44,4,Two year,Electronic check,No,Yes,No,Yes,0,Female,Yes,No,No,No,No internet service,No internet service,Yes,No,0
CUST00015,20,37.71,4149.34,1,Two year,Bank transfer,DSL,No,No,No,0,Female,Yes,No,Yes,No,Yes,Yes,No,No internet service,0
CUST00016,32,29.84,7396.35,4,One year,Electronic check,No,No,Yes,Yes,0,Male,Yes,No,Yes,No,No internet service,Yes,Yes,No,1
CUST00017,57,115.67,4401.68,1,Month-to-month,Bank transfer,No,No internet service,No internet service,No,0,Male,Yes,No,No,No,No,No,No internet service,No,1
CUST00018,21,79.94,4672.33,3,One year,Bank transfer,Fiber optic,Yes,No,Yes,1,Female,No,No,Yes,Yes,No internet service,No,No,No,1
CUST00019,48,92.87,3225.19,1,One year,Bank transfer,Fiber optic,No,No,No,0,Female,No,Yes,Yes,No,No internet service,No,No,No internet service,0
CUST00020,58,51.54,7593.66,4,Month-to-month,Credit card,Fiber optic,No,No,Yes,0,Female,No,No,Yes,No phone service,No,Yes,No,No internet service,0
CUST00021,41,59.31,6221.94,1,Two year,Electronic check,DSL,No internet service,No,No,1,Male,No,No,Yes,Yes,Yes,No,No,No,0
CUST00022,59,43.69,2297.53,3,Month-to-month,Bank transfer,DSL,Yes,Yes,Yes,0,Male,Yes,No,Yes,No,No,Yes,No,No internet service,0
CUST00023,14,29.7,6756.79,4,Month-to-month,Electronic check,No,No,No,Yes,0,Female,Yes,No,Yes,No,Yes,No,No internet service,No,1
CUST00024,61,37.9,3470.52,1,Month-to-month,Credit card,Fiber optic,Yes,No,No,0,Female,No,No,Yes,Yes,No internet service,No,No,No,1
